Date,Investigator,CH,[Tubulin] $(\mu M)$,[DCX] $(n M)$,Length $(\mu m)$,Lifetime $(min)$,Growth Rate $(\mu m / min)$,Time to Nucleate $(min)$,Shrink Length $(\mu m)$,Shrink Lifetime $(min)$,Shrink Rate $(\mu m / min)$,Rescues,DCX Type
2020-07-03,Sofia,13,12.0,0.0,3.9589999999999996,4.024,0.9838469184890656,0.9012083333333334,4.066,0.08383333333333334,48.50099403578528,False,None
2020-07-03,Sofia,13,12.0,0.0,7.49,7.8803333333333345,0.9504674083160608,0.14670833333333333,7.917999999999999,0.16766666666666669,47.224652087475135,False,None
2020-07-03,Sofia,13,12.0,0.0,3.21,3.5210000000000004,0.9116728202215278,0.2305416666666667,3.424,0.2515,13.61431411530815,False,None
2020-07-03,Sofia,13,12.0,0.0,12.84,14.3355,0.8956785602176416,0.8173750000000001,12.947000000000001,1.0898333333333334,11.879798134271295,False,None
2020-07-03,Sofia,13,12.0,0.0,3.424,3.9401666666666673,0.8689987733175414,0.6497083333333333,3.21,0.2515,12.763419483101393,False,None
2020-07-03,Sofia,13,12.0,0.0,1.926,2.012,0.9572564612326044,0.14670833333333333,1.926,0.08383333333333334,22.9741550695825,False,None
2020-07-03,Sofia,13,12.0,0.0,2.461,3.018,0.8154406891981444,2.326375,2.889,0.16766666666666669,17.230616302186874,False,None
2020-07-03,Sofia,13,12.0,0.0,9.951,9.892333333333337,1.0059305185834146,0.6497083333333333,10.165,0.33533333333333337,30.313121272365798,False,None
2020-07-03,Sofia,13,12.0,0.0,6.634,6.2875,1.0551093439363817,0.4820416666666667,6.527,0.33533333333333337,19.46421471172962,False,None
2020-07-03,Sofia,14,8.0,0.0,5.029,7.2935,0.6895180640296155,0.4820416666666667,5.029,0.2515,19.996023856858848,False,None
2020-07-03,Sofia,14,8.0,0.0,0.7490000000000001,1.5928333333333335,0.4702312441142618,3.0808750000000003,0.856,0.08383333333333334,10.210735586481114,False,None
2020-07-03,Sofia,14,8.0,0.0,2.568,3.4371666666666667,0.7471269941327643,5.428208333333332,2.461,0.16766666666666669,14.677932405566594,False,None
2020-07-03,Sofia,14,8.0,0.0,4.922,4.862333333333334,1.0122712003839034,2.4102083333333337,4.922,0.08383333333333334,58.71172962226639,False,None
2020-07-03,Sofia,14,8.0,0.0,0.856,1.8443333333333336,0.4641243448400506,0.565875,0.856,0.08383333333333334,10.210735586481114,False,None
2020-07-03,Sofia,14,8.0,0.0,3.103,4.7785,0.64936695615779,1.9072083333333332,3.317,0.16766666666666669,19.783300198807154,False,None
2020-07-03,Sofia,14,8.0,0.0,2.889,3.101833333333333,0.9313846649830744,8.530041666666667,2.889,0.16766666666666669,17.230616302186874,False,None
2020-07-03,Sofia,14,8.0,0.0,6.634,7.545000000000001,0.8792577866136513,3.835375,6.848,0.4191666666666667,16.33717693836978,False,None
2020-07-03,Sofia,14,8.0,0.0,4.708,5.5329999999999995,0.8508946322067594,0.7335416666666668,4.066,0.2515,16.166998011928428,True,None
2020-07-03,Sofia,14,8.0,0.0,1.819,2.179666666666667,0.8345312738950909,0.7335416666666668,1.926,0.08383333333333334,22.9741550695825,False,None
2020-07-03,Sofia,14,8.0,0.0,0.535,1.1736666666666666,0.455836410110764,7.859375,0.642,0.08383333333333334,7.6580516898608355,False,None
2020-07-03,Sofia,14,8.0,0.0,3.21,3.6886666666666668,0.8702331465750948,0.4820416666666667,3.424,0.16766666666666669,20.421471172962228,False,None
2020-07-03,Sofia,14,8.0,0.0,3.317,3.1856666666666666,1.041226326253008,3.7515416666666663,3.21,0.08383333333333334,38.29025844930417,False,None
2020-07-03,Sofia,14,8.0,0.0,1.926,2.5988333333333333,0.7411017764381453,0.6497083333333333,2.033,0.16766666666666669,12.12524850894632,False,None
2020-07-03,Sofia,14,8.0,0.0,1.391,1.6766666666666667,0.8296222664015904,1.4880416666666667,1.391,,,False,None
2020-07-03,Sofia,14,8.0,0.0,0.7490000000000001,1.0898333333333334,0.6872610490900749,1.1527083333333334,0.856,0.08383333333333334,10.210735586481114,False,None
2020-07-03,Sofia,14,8.0,0.0,0.535,1.1736666666666666,0.455836410110764,1.571875,0.642,,,False,None
2020-07-03,Sofia,14,8.0,0.0,3.424,4.024,0.8508946322067594,6.182708333333334,3.531,0.2515,14.039761431411529,False,None
2020-07-03,Sofia,14,8.0,0.0,9.844,11.065999999999999,0.8895716609434302,1.823375,10.058,0.503,19.996023856858848,False,None
2020-07-03,Sofia,14,8.0,0.0,7.276,8.048,0.904075546719682,0.8173750000000001,7.169,0.5868333333333333,12.216415790968476,False,None
2020-07-03,Sofia,14,8.0,0.0,1.605,2.095833333333333,0.7658051689860835,11.045041666666664,1.712,0.08383333333333334,20.421471172962228,False,None
2020-07-03,Sofia,14,8.0,0.0,5.029,7.209666666666667,0.6975357159369364,0.6497083333333333,5.136,0.2515,20.421471172962228,False,None
2020-07-03,Sofia,14,8.0,0.0,1.712,2.179666666666667,0.7854411989600856,0.9012083333333334,1.819,0.08383333333333334,21.697813121272358,False,None
2020-07-03,Sofia,14,8.0,0.0,7.169,7.964166666666667,0.9001569530187296,1.1527083333333334,7.062,0.33533333333333337,21.059642147117295,False,None
2020-07-03,Sofia,14,8.0,0.0,14.017000000000001,16.096,0.8708374751491054,0.7335416666666668,14.017000000000001,0.7545000000000001,18.577866136514245,False,None
2020-07-03,Sofia,14,8.0,0.0,5.136,5.5329999999999995,0.9282486896801012,1.2365416666666669,5.136,0.16766666666666669,30.632206759443342,False,None
2020-07-03,Sofia,14,8.0,0.0,1.712,1.8443333333333336,0.9282486896801012,0.6497083333333333,1.712,0.08383333333333334,20.421471172962228,False,None
2020-07-03,Sofia,14,8.0,0.0,5.992000000000001,10.06,0.5956262425447316,1.4042083333333333,6.42,0.33533333333333337,19.145129224652084,False,None
2020-07-03,Sofia,14,8.0,0.0,9.309,13.3295,0.6983757830376232,1.320375,9.63,0.4191666666666667,22.9741550695825,False,None
2020-07-03,Sofia,14,8.0,0.0,4.28,5.616833333333332,0.7619951930209787,0.8173750000000001,4.494,0.2515,17.868787276341948,False,None
2020-07-03,Sofia,14,8.0,0.0,0.642,0.9221666666666668,0.6961865172600759,3.0808750000000003,0.7490000000000001,,,False,None
2020-07-03,Sofia,14,8.0,0.0,13.375,15.928333333333335,0.8396986502040389,1.4042083333333333,13.696,0.9221666666666668,14.851979034881618,False,None
2020-07-03,Sofia,22,6.0,0.0,0.7490000000000001,2.5988333333333333,0.28820624639261205,12.505138915538788,0.7490000000000001,,,False,None
2020-07-03,Sofia,22,6.0,0.0,0.428,2.095833333333333,0.20421471172962227,3.3673055822054545,0.642,0.08383333333333334,7.6580516898608355,False,None
2020-07-03,Sofia,22,6.0,0.0,,,,,,,,False,None
2020-07-03,Sofia,22,6.0,0.0,0.535,1.0898333333333334,0.4909007493500535,2.8643055822054544,0.428,,,False,None
2020-07-03,Sofia,22,6.0,0.0,0.428,1.6766666666666667,0.2552683896620278,4.9601389155387885,0.428,0.08383333333333334,5.105367793240557,False,None
2020-07-03,Sofia,22,6.0,0.0,,,,,,,,False,None
2020-07-03,Sofia,22,6.0,0.0,0.535,2.2635,0.2363596200574332,11.750638915538788,0.642,0.08383333333333334,7.6580516898608355,False,None
